,City,CO,NO2,O3,SO2,PM2.5,PM10
219,Clearwater,200.27,0.19,91.55,0.21,1.85,5.34
220,Port Saint Lucie,223.64,2.7,92.98,0.2,4.78,7.13
221,Pittsburg,327.11,23.31,10.55,6.26,7.03,7.52
222,Medford,303.75,24.33,45.42,2.92,4.16,7.04
223,North Richland Hills,247.0,10.28,46.49,0.26,2.43,4.12
224,Skokie,267.03,15.42,62.23,1.03,2.69,3.75
225,Missouri City,350.48,23.31,86.55,1.25,6.64,9.15
226,Miramar,213.62,2.57,88.69,0.37,4.1,6.54
227,Union City,253.68,8.48,98.71,1.64,7.9,13.26
228,West Jordan,350.48,23.31,128.75,7.09,32.34,37.35
229,Evansville,223.64,3.47,80.82,1.7,2.18,2.52
230,The Woodlands,273.71,8.4,77.96,0.9,7.37,9.13
231,Town 'n' Country,208.62,1.35,87.98,0.37,2.37,5.24
232,Rochester Hills,273.71,6.26,39.7,0.49,2.69,3.06
233,Suffolk,230.31,2.57,72.96,0.89,6.89,7.94
234,Colorado Springs,165.22,0.81,82.97,0.2,0.9,1.05
235,Lewisville,236.99,5.66,78.68,0.63,3.43,4.89
236,Santa Maria,260.35,2.91,54.36,1.94,10.28,14.85
237,Mount Pleasant,226.97,4.07,74.39,0.41,4.51,7.61
238,Schaumburg,226.97,5.18,68.67,0.95,1.56,2.22
239,Manteca,327.11,8.91,214.58,8.23,39.48,46.1
240,Birmingham,277.04,19.71,6.08,4.17,3.36,3.64
241,Aurora,247.0,10.97,47.21,0.17,1.94,2.7
242,Rockville,337.12,26.05,54.36,3.01,8.98,9.99
243,Roswell,223.64,1.59,72.24,1.15,2.71,3.16
244,Knoxville,240.33,3.51,58.65,2.06,3.73,3.85
245,San Marcos,223.64,4.16,70.81,0.3,2.5,4.82
246,Vallejo,223.64,1.35,101.57,0.67,6.34,9.92
247,San Francisco,230.31,1.39,88.69,1.06,4.88,10.79
248,Muncie,226.97,4.07,61.51,1.27,1.8,2.0
249,Las Cruces,213.62,0.9,108.72,0.95,11.54,34.61
250,Sioux City,206.95,1.67,75.82,0.69,2.43,4.0
251,Ellicott City,313.76,24.33,53.64,3.99,7.53,9.53
252,Fontana,357.15,7.54,234.6,8.46,47.19,52.27
253,Waukegan,267.03,16.28,47.92,0.62,2.57,3.7
254,Eugene,247.0,5.66,37.55,1.71,3.46,4.18
255,Hollywood,247.0,6.34,107.29,2.15,6.33,7.35
256,Walnut Creek,247.0,8.05,97.28,4.89,7.28,11.73
257,San Mateo,226.97,2.57,86.55,1.06,5.3,11.51
258,Killeen,223.64,2.51,90.12,0.66,4.54,8.91
259,Mount Vernon,216.96,1.71,81.54,0.47,1.49,1.59
260,Akron,327.11,14.74,21.82,1.36,3.98,5.19
261,Flagstaff,168.56,0.36,87.26,0.17,3.9,6.4
262,Davenport,247.0,8.48,52.21,0.22,2.52,2.84
263,Wichita,203.61,2.57,81.54,0.38,2.08,3.19
264,South Bend,210.29,2.23,65.09,0.75,1.21,1.4
265,Livonia,283.72,9.51,33.62,0.84,3.16,3.65
266,Bloomington,216.96,2.14,71.53,0.73,1.15,1.28
267,Beaumont,247.0,2.91,125.89,1.24,10.08,11.89
268,Phoenix,250.34,7.63,150.2,3.34,11.92,20.26
269,Torrance,320.44,16.79,150.2,4.17,16.64,21.05
270,Loveland,208.62,3.86,101.57,1.4,3.7,4.27
271,Buena Park,514.03,52.09,194.55,20.98,38.15,45.68
272,McKinney,233.65,7.97,61.51,0.29,2.0,3.0
273,Temecula,300.41,3.6,191.69,4.83,26.64,29.94
274,New Bedford,233.65,4.07,65.8,1.03,3.0,5.86
275,Toledo,208.62,0.83,80.11,0.34,2.54,4.08
276,Avondale,206.95,1.33,128.75,1.04,7.81,15.6
277,Brooklyn Park,277.04,12.34,60.08,1.33,4.85,5.87
278,Inglewood,320.44,16.79,150.2,4.17,16.64,21.05
279,Chicago,407.22,50.72,14.84,2.21,5.51,7.72
280,Boca Raton,236.99,8.65,75.82,0.52,6.0,9.71
281,Overland Park,293.73,18.51,62.94,4.59,5.89,6.92
