,City,State,Median Age,Male Population,Female Population,Total Population,Number of Veterans,Foreign-born,Average Household Size,State Code,Race,Count
1510,Hillsboro,Oregon,35.3,50926.0,51434.0,102360,6625.0,19531.0,2.68,OR,Hispanic or Latino,22169
1511,Allen,Pennsylvania,33.5,60626.0,59581.0,120207,5691.0,19652.0,2.67,PA,White,74187
1512,Worcester,Massachusetts,34.9,90951.0,93855.0,184806,9408.0,36907.0,2.43,MA,Black or African-American,27491
1513,Suffolk,Virginia,38.2,43048.0,45113.0,88161,10114.0,2829.0,2.719999999999999,VA,White,46458
1514,Dallas,Texas,32.6,639019.0,661063.0,1300082,41026.0,326825.0,2.59,TX,Hispanic or Latino,549966
1515,Gilbert,Arizona,33.2,116711.0,130812.0,247523,10817.0,24531.0,3.2,AZ,Hispanic or Latino,39937
1516,Greensboro,North Carolina,35.5,132251.0,153093.0,285344,14011.0,26667.0,2.36,NC,American Indian and Alaska Native,3688
1517,New Bedford,Massachusetts,38.6,43793.0,51166.0,94959,4185.0,19024.0,2.39,MA,Asian,1811
1518,Cicero,Illinois,28.5,43153.0,40714.0,83867,629.0,33801.0,3.89,IL,White,30824
1519,Aurora,Illinois,31.7,101964.0,101751.0,203715,4988.0,50980.0,3.3,IL,Hispanic or Latino,86653
1520,Westminster,Colorado,37.8,54866.0,58251.0,113117,6512.0,11361.0,2.63,CO,White,100084
1521,Saint Paul,Minnesota,31.5,149547.0,151293.0,300840,10548.0,56514.0,2.58,MN,American Indian and Alaska Native,6858
1522,Berkeley,California,32.5,60142.0,60829.0,120971,3736.0,25000.0,2.35,CA,White,82949
1523,Virginia Beach,Virginia,35.4,222684.0,230061.0,452745,54995.0,38360.0,2.61,VA,Hispanic or Latino,36309
1524,Manteca,California,35.3,37053.0,38397.0,75450,3936.0,13942.0,3.25,CA,American Indian and Alaska Native,2861
1525,Nampa,Idaho,31.4,45651.0,44199.0,89850,4736.0,6607.0,2.98,ID,Hispanic or Latino,22066
1526,Saint Louis,Missouri,35.0,153026.0,162659.0,315685,17060.0,21802.0,2.16,MO,Hispanic or Latino,12261
1527,Reading,Pennsylvania,29.4,43668.0,44205.0,87873,2580.0,17043.0,2.95,PA,Asian,903
1528,Arden-Arcade,California,41.5,47596.0,48680.0,96276,6511.0,13458.0,2.18,CA,American Indian and Alaska Native,2587
1529,Lake Forest,California,40.3,41515.0,40982.0,82497,3748.0,20784.0,2.76,CA,Black or African-American,3526
1530,Seattle,Washington,35.5,345659.0,338784.0,684443,29364.0,119840.0,2.13,WA,American Indian and Alaska Native,12804
1531,Durham,North Carolina,33.2,121153.0,136445.0,257598,12528.0,38642.0,2.4,NC,American Indian and Alaska Native,3154
1532,Henderson,Nevada,42.5,139412.0,146246.0,285658,25045.0,35666.0,2.55,NV,Asian,24931
1533,Simi Valley,California,39.0,63243.0,63523.0,126766,6063.0,23260.0,3.13,CA,Black or African-American,2378
1534,Louisville/Jefferson County metro government,Kentucky,37.5,298451.0,316938.0,615389,39364.0,37875.0,2.45,KY,American Indian and Alaska Native,4585
1535,Pompano Beach,Florida,42.5,56569.0,51202.0,107771,5145.0,32733.0,2.55,FL,White,67360
1536,Shreveport,Louisiana,35.2,93138.0,103856.0,196994,14287.0,5658.0,2.53,LA,Black or African-American,112923
1537,Athens-Clarke County unified government,Georgia,26.5,57415.0,65148.0,122563,3953.0,12868.0,2.44,GA,Asian,6635
1538,Westland,Michigan,39.9,37742.0,44253.0,81995,4756.0,6429.0,2.41,MI,Asian,4843
1539,Thousand Oaks,California,44.8,65113.0,64216.0,129329,6323.0,25330.0,2.79,CA,Asian,16134
1540,Quincy,Massachusetts,41.0,44129.0,49500.0,93629,4147.0,32935.0,2.39,MA,Asian,30473
1541,Lafayette,Louisiana,31.7,64018.0,63643.0,127661,5206.0,5396.0,2.54,LA,American Indian and Alaska Native,1183
1542,Ontario,California,31.0,85059.0,86141.0,171200,4816.0,48557.0,3.52,CA,American Indian and Alaska Native,4304
1543,Kansas City,Kansas,33.4,74606.0,76655.0,151261,8139.0,25507.0,2.71,KS,Asian,7301
1544,San Tan Valley,Arizona,31.3,40429.0,42368.0,82797,4300.0,5757.0,3.44,AZ,Asian,1378
1545,Scottsdale,Arizona,46.9,115712.0,121132.0,236844,16798.0,27207.0,2.17,AZ,American Indian and Alaska Native,7003
1546,Rancho Cucamonga,California,34.5,88127.0,87105.0,175232,5821.0,33878.0,3.18,CA,Black or African-American,24437
1547,Jonesboro,Arkansas,32.6,35666.0,38240.0,73906,3682.0,3222.0,2.44,AR,Black or African-American,14599
1548,Somerville,Massachusetts,31.0,41028.0,39306.0,80334,2103.0,22292.0,2.43,MA,Asian,9498
1549,Bakersfield,California,30.6,182154.0,191473.0,373627,12284.0,71575.0,3.23,CA,American Indian and Alaska Native,7357
1550,Des Moines,Iowa,34.5,103726.0,106591.0,210317,11780.0,23857.0,2.41,IA,Asian,15205
1551,Waukesha,Wisconsin,35.8,36263.0,35713.0,71976,3116.0,4982.0,2.35,WI,White,66757
1552,Framingham,Massachusetts,40.3,35442.0,35768.0,71210,2625.0,19070.0,2.49,MA,Hispanic or Latino,13000
1553,Mesquite,Texas,34.6,69240.0,75884.0,145124,6438.0,26755.0,2.96,TX,White,98597
1554,Peoria,Arizona,36.9,80139.0,91103.0,171242,13019.0,14260.0,2.969999999999999,AZ,Hispanic or Latino,41129
1555,Duluth,Minnesota,34.7,41271.0,44855.0,86126,5015.0,2258.0,2.25,MN,Asian,1721
1556,New Bedford,Massachusetts,38.6,43793.0,51166.0,94959,4185.0,19024.0,2.39,MA,Hispanic or Latino,18336
1557,Philadelphia,Pennsylvania,34.1,741270.0,826172.0,1567442,61995.0,205339.0,2.61,PA,Black or African-American,691186
1558,Worcester,Massachusetts,34.9,90951.0,93855.0,184806,9408.0,36907.0,2.43,MA,Asian,15932
1559,Eugene,Oregon,33.4,79071.0,84377.0,163448,8896.0,14503.0,2.34,OR,Hispanic or Latino,17356
1560,Olathe,Kansas,33.0,65046.0,69270.0,134316,6042.0,11913.0,2.969999999999999,KS,Asian,6288
1561,North Little Rock,Arkansas,33.6,31671.0,34835.0,66506,4130.0,2787.0,2.62,AR,White,34118
1562,Rochester Hills,Michigan,41.2,36356.0,37076.0,73432,3053.0,13708.0,2.66,MI,Hispanic or Latino,3395
1563,Kenosha,Wisconsin,36.3,49349.0,50507.0,99856,6238.0,7443.0,2.55,WI,Asian,2537
1564,Cheektowaga,New York,40.7,37476.0,38599.0,76075,5408.0,3532.0,2.3,NY,White,63541
1565,Riverside,California,31.4,160613.0,161810.0,322423,12373.0,69584.0,3.34,CA,American Indian and Alaska Native,5338
1566,Boynton Beach,Florida,45.8,33701.0,40271.0,73972,4727.0,15431.0,2.45,FL,Hispanic or Latino,12553
1567,Vista,California,29.3,50680.0,50204.0,100884,4957.0,23271.0,3.52,CA,Asian,7189
1568,Surprise,Arizona,39.4,62875.0,65567.0,128442,11109.0,9929.0,2.9,AZ,Black or African-American,9079
1569,Bismarck,North Dakota,38.0,34675.0,35565.0,70240,4145.0,2064.0,2.11,ND,American Indian and Alaska Native,4040
1570,Bakersfield,California,30.6,182154.0,191473.0,373627,12284.0,71575.0,3.23,CA,Black or African-American,34240
1571,Yorba Linda,California,45.5,31960.0,36006.0,67966,3171.0,15532.0,3.0,CA,American Indian and Alaska Native,211
1572,Carolina,Puerto Rico,42.0,64758.0,77308.0,142066,,,,PR,Hispanic or Latino,139967
1573,Baltimore,Maryland,34.7,294027.0,327822.0,621849,29540.0,49857.0,2.51,MD,Black or African-American,396270
1574,Denton,Texas,28.7,62478.0,68569.0,131047,6352.0,18451.0,2.66,TX,Asian,7061
1575,Downey,California,37.3,53006.0,61205.0,114211,2281.0,39977.0,3.45,CA,Hispanic or Latino,84806
1576,Springfield,Massachusetts,31.8,74744.0,79592.0,154336,5723.0,16226.0,2.81,MA,Black or African-American,35284
1577,Saint Paul,Minnesota,31.5,149547.0,151293.0,300840,10548.0,56514.0,2.58,MN,Asian,58174
1578,Asheville,North Carolina,37.9,42100.0,46407.0,88507,4973.0,6630.0,2.18,NC,Black or African-American,9078
1579,Sunrise,Florida,37.7,41471.0,51235.0,92706,4108.0,38209.0,2.98,FL,Black or African-American,33951
1580,Rockford,Illinois,36.3,71076.0,78270.0,149346,8894.0,18323.0,2.52,IL,American Indian and Alaska Native,2301
1581,Hesperia,California,29.4,43588.0,49698.0,93286,3739.0,16667.0,3.52,CA,White,78718
1582,Lehigh Acres,Florida,34.3,57856.0,61624.0,119480,5551.0,31880.0,3.55,FL,Asian,1853
1583,Largo,Florida,45.1,38166.0,42841.0,81007,8310.0,10489.0,2.28,FL,White,73502
1584,Manchester,New Hampshire,37.3,54845.0,55378.0,110223,5473.0,14506.0,2.4,NH,Asian,4304
1585,Portland,Oregon,36.7,313516.0,318671.0,632187,29940.0,86041.0,2.43,OR,Hispanic or Latino,61064
1586,Sandy,Utah,34.6,46923.0,46689.0,93612,3451.0,6691.0,3.22,UT,American Indian and Alaska Native,507
1587,Billings,Montana,36.3,52705.0,57565.0,110270,9121.0,3206.0,2.4,MT,Hispanic or Latino,7526
1588,Kent,Washington,33.4,61825.0,65137.0,126962,7985.0,38175.0,3.06,WA,American Indian and Alaska Native,3651
1589,Vancouver,Washington,37.2,82958.0,89895.0,172853,12391.0,21748.0,2.49,WA,Asian,10882
1590,Brandon,Florida,36.1,55679.0,58289.0,113968,9417.0,16390.0,2.64,FL,Black or African-American,23475
1591,Lancaster,California,30.9,80668.0,80445.0,161113,7892.0,17247.0,3.25,CA,American Indian and Alaska Native,2186
1592,Newport News,Virginia,32.8,88385.0,94000.0,182385,18896.0,12589.0,2.46,VA,Asian,8275
1593,El Paso,Texas,33.1,332797.0,348339.0,681136,47693.0,159709.0,3.03,TX,White,587683
1594,Waldorf,Maryland,33.6,35640.0,39872.0,75512,6932.0,5954.0,2.69,MD,Asian,4100
1595,Anaheim,California,33.6,179603.0,171135.0,350738,9796.0,137133.0,3.45,CA,White,259820
1596,Lubbock,Texas,29.2,122320.0,126731.0,249051,10588.0,14226.0,2.61,TX,White,206318
1597,Brooklyn Park,Minnesota,35.1,37845.0,41305.0,79150,3506.0,17490.0,2.85,MN,American Indian and Alaska Native,1173
1598,Detroit,Michigan,34.8,319265.0,357859.0,677124,29511.0,39861.0,2.6,MI,Asian,10804
1599,Oklahoma City,Oklahoma,34.1,309227.0,322036.0,631263,41843.0,80165.0,2.58,OK,Black or African-American,111673
1600,Pasco,Washington,28.6,35298.0,32799.0,68097,2052.0,16265.0,3.45,WA,White,55741
1601,Hillsboro,Oregon,35.3,50926.0,51434.0,102360,6625.0,19531.0,2.68,OR,Asian,13704
1602,Compton,California,30.1,49264.0,49184.0,98448,897.0,30660.0,4.08,CA,White,53919
1603,Bend,Oregon,37.3,42294.0,44723.0,87017,6199.0,3032.0,2.39,OR,White,83689
1604,Evanston,Illinois,36.8,34146.0,41377.0,75523,2058.0,15003.0,2.29,IL,American Indian and Alaska Native,544
1605,New Rochelle,New York,40.6,38871.0,40967.0,79838,2780.0,26960.0,2.85,NY,Hispanic or Latino,23548
1606,Knoxville,Tennessee,33.1,89978.0,95334.0,185312,10897.0,10285.0,2.21,TN,Hispanic or Latino,8640
1607,Mission,Texas,32.9,40530.0,42777.0,83307,2383.0,22608.0,3.51,TX,Asian,3075
1608,Hayward,California,34.3,78152.0,80148.0,158300,4385.0,60970.0,3.32,CA,Black or African-American,20219
1609,Melbourne,Florida,43.4,39180.0,40956.0,80136,8363.0,9685.0,2.37,FL,Hispanic or Latino,6060
1610,Flagstaff,Arizona,23.9,33224.0,37093.0,70317,3667.0,4262.0,2.55,AZ,Black or African-American,3144
1611,Wichita Falls,Texas,34.0,55775.0,48934.0,104709,7800.0,9855.0,2.41,TX,Black or African-American,14529
1612,Minneapolis,Minnesota,32.4,206547.0,204388.0,410935,15217.0,70769.0,2.26,MN,Asian,33854
1613,Billings,Montana,36.3,52705.0,57565.0,110270,9121.0,3206.0,2.4,MT,Asian,1873
1614,Columbia,South Carolina,28.0,67686.0,65707.0,133393,5708.0,6074.0,2.32,SC,White,73232
1615,Oakland,California,35.7,203827.0,215451.0,419278,12159.0,113896.0,2.56,CA,Hispanic or Latino,114054
1616,Saint Cloud,Minnesota,30.7,34311.0,33942.0,68253,5012.0,5757.0,2.41,MN,American Indian and Alaska Native,1169
1617,San Buenaventura,California,37.7,53932.0,55785.0,109717,5980.0,18025.0,2.68,CA,Black or African-American,1300
1618,Canton,Ohio,33.4,34476.0,37419.0,71895,3404.0,2204.0,2.32,OH,Black or African-American,21353
1619,Pearland,Texas,33.9,52336.0,59329.0,111665,5621.0,16882.0,3.0,TX,Black or African-American,23779
1620,Los Angeles,California,35.0,1958998.0,2012898.0,3971896,85417.0,1485425.0,2.86,CA,American Indian and Alaska Native,63758
1621,Lake Charles,Louisiana,31.8,35678.0,40388.0,76066,4477.0,3215.0,2.36,LA,Asian,1444
1622,Waukesha,Wisconsin,35.8,36263.0,35713.0,71976,3116.0,4982.0,2.35,WI,Black or African-American,1923
1623,Richmond,Virginia,33.6,104793.0,115496.0,220289,12538.0,15741.0,2.29,VA,Hispanic or Latino,14259
1624,Dallas,Texas,32.6,639019.0,661063.0,1300082,41026.0,326825.0,2.59,TX,White,839169
1625,Glen Burnie,Maryland,36.5,33398.0,36461.0,69859,5298.0,6971.0,2.58,MD,American Indian and Alaska Native,708
1626,Waterloo,Iowa,37.2,34488.0,33969.0,68457,4800.0,5082.0,2.42,IA,American Indian and Alaska Native,467
1627,Kirkland,Washington,40.8,42159.0,45108.0,87267,5156.0,18570.0,2.3,WA,White,70491
1628,Fontana,California,29.5,100644.0,106828.0,207472,4076.0,61448.0,4.15,CA,Hispanic or Latino,156134
1629,Danbury,Connecticut,37.3,43435.0,41227.0,84662,3752.0,25675.0,2.74,CT,Asian,7350
1630,New Orleans,Louisiana,35.9,185736.0,203881.0,389617,17388.0,21679.0,2.41,LA,Black or African-American,234645
1631,Modesto,California,35.2,104852.0,106405.0,211257,9855.0,39613.0,2.969999999999999,CA,American Indian and Alaska Native,4388
1632,Memphis,Tennessee,34.1,312237.0,343523.0,655760,31189.0,43318.0,2.55,TN,Hispanic or Latino,46621
1633,Davenport,Iowa,35.2,50123.0,52454.0,102577,7090.0,4065.0,2.39,IA,Hispanic or Latino,9131
1634,Manteca,California,35.3,37053.0,38397.0,75450,3936.0,13942.0,3.25,CA,Black or African-American,6279
1635,Laguna Niguel,California,45.8,30193.0,35619.0,65812,2648.0,12571.0,2.58,CA,Black or African-American,881
1636,Hialeah,Florida,43.0,111530.0,125552.0,237082,1844.0,170148.0,3.31,FL,Hispanic or Latino,227508
1637,Palmdale,California,32.6,76361.0,81989.0,158350,6388.0,41974.0,3.54,CA,White,73480
1638,Gaithersburg,Maryland,35.7,32211.0,35234.0,67445,2126.0,28133.0,2.73,MD,Hispanic or Latino,18721
1639,Columbus,Georgia,33.7,98785.0,101794.0,200579,21747.0,10376.0,2.62,GA,Black or African-American,95366
1640,Bend,Oregon,37.3,42294.0,44723.0,87017,6199.0,3032.0,2.39,OR,Asian,2726
1641,Broken Arrow,Oklahoma,36.8,52136.0,55459.0,107595,6797.0,6845.0,2.77,OK,American Indian and Alaska Native,11963
1642,Garden Grove,California,37.8,86779.0,88605.0,175384,4316.0,80677.0,3.66,CA,Hispanic or Latino,66038
1643,Sacramento,California,33.7,237724.0,252991.0,490715,19698.0,112579.0,2.73,CA,American Indian and Alaska Native,10145
1644,Waterbury,Connecticut,36.2,52235.0,56572.0,108807,3493.0,19967.0,2.71,CT,Hispanic or Latino,38222
1645,Chandler,Arizona,35.6,128885.0,131948.0,260833,15870.0,38721.0,2.78,AZ,White,207993
1646,Bethlehem,Pennsylvania,35.1,35861.0,38506.0,74367,4704.0,6295.0,2.46,PA,Asian,3759
1647,Palm Coast,Florida,48.8,39489.0,42632.0,82121,7950.0,9084.0,2.76,FL,White,67272
1648,Alhambra,California,41.0,42184.0,43388.0,85572,1673.0,44441.0,2.89,CA,Hispanic or Latino,31386
1649,Danbury,Connecticut,37.3,43435.0,41227.0,84662,3752.0,25675.0,2.74,CT,White,55917
1650,Mount Vernon,New York,38.5,31876.0,36745.0,68621,2064.0,23777.0,2.85,NY,Asian,1497
1651,Folsom,California,40.9,41051.0,35317.0,76368,4187.0,13234.0,2.62,CA,Asian,15569
1652,San Angelo,Texas,32.8,49669.0,50744.0,100413,8412.0,7859.0,2.5,TX,Hispanic or Latino,42494
1653,Harlingen,Texas,30.1,32404.0,33365.0,65769,2761.0,10391.0,3.0,TX,Hispanic or Latino,51727
1654,Elk Grove,California,36.1,80057.0,86833.0,166890,7762.0,38693.0,3.34,CA,Hispanic or Latino,28781
1655,Lehigh Acres,Florida,34.3,57856.0,61624.0,119480,5551.0,31880.0,3.55,FL,White,86328
1656,Lakewood,California,39.9,41523.0,40069.0,81592,4094.0,18274.0,3.13,CA,White,43766
1657,Moreno Valley,California,30.7,98584.0,105597.0,204181,8529.0,54442.0,3.9,CA,American Indian and Alaska Native,1843
1658,New York,New York,36.0,4081698.0,4468707.0,8550405,156961.0,3212500.0,2.68,NY,Black or African-American,2192248
1659,San Leandro,California,41.8,43032.0,47679.0,90711,4111.0,34293.0,2.79,CA,Asian,34019
1660,Arlington,Virginia,34.4,113981.0,115183.0,229164,12719.0,55205.0,2.19,VA,Black or African-American,22372
1661,Palo Alto,California,40.2,31451.0,35397.0,66848,2025.0,23348.0,2.55,CA,Hispanic or Latino,3496
1662,Coral Springs,Florida,37.2,63316.0,66186.0,129502,4724.0,38552.0,3.17,FL,White,90896
1663,Midland,Texas,32.1,66595.0,66355.0,132950,5753.0,17061.0,2.78,TX,American Indian and Alaska Native,1922
1664,Alexandria,Virginia,36.6,74989.0,78522.0,153511,10635.0,44030.0,2.2,VA,Asian,13315
1665,Tyler,Texas,33.9,50422.0,53283.0,103705,4813.0,8225.0,2.59,TX,Asian,2543
1666,Somerville,Massachusetts,31.0,41028.0,39306.0,80334,2103.0,22292.0,2.43,MA,Hispanic or Latino,8790
1667,Santa Clara,California,35.2,63278.0,62938.0,126216,4426.0,52281.0,2.75,CA,White,55847
1668,Garland,Texas,34.5,116406.0,120430.0,236836,10407.0,62975.0,3.12,TX,Hispanic or Latino,90989
1669,Layton,Utah,29.5,37748.0,36394.0,74142,3811.0,4268.0,3.24,UT,Asian,2889
1670,San Leandro,California,41.8,43032.0,47679.0,90711,4111.0,34293.0,2.79,CA,Hispanic or Latino,26894
1671,Grand Prairie,Texas,33.1,90811.0,96944.0,187755,7073.0,44888.0,3.18,TX,Black or African-American,54934
1672,Miami Beach,Florida,42.5,48090.0,44221.0,92311,2265.0,49908.0,2.1,FL,Asian,2772
1673,Champaign,Illinois,28.7,43326.0,42760.0,86086,3734.0,12261.0,2.25,IL,White,58099
1674,Flint,Michigan,35.3,48984.0,49313.0,98297,3757.0,2138.0,2.38,MI,Black or African-American,55137
1675,Vancouver,Washington,37.2,82958.0,89895.0,172853,12391.0,21748.0,2.49,WA,Hispanic or Latino,23184
1676,Nashville,Tennessee,34.1,314231.0,340365.0,654596,27942.0,88193.0,2.39,TN,Asian,27355
1677,Meridian,Idaho,38.0,43353.0,47400.0,90753,5640.0,8110.0,2.54,ID,American Indian and Alaska Native,492
1678,Appleton,Wisconsin,35.6,37217.0,38038.0,75255,4219.0,4454.0,2.49,WI,American Indian and Alaska Native,835
1679,Saint Charles,Missouri,34.9,32054.0,36747.0,68801,4371.0,5274.0,2.33,MO,American Indian and Alaska Native,681
1680,Inglewood,California,34.9,52995.0,58661.0,111656,2703.0,34171.0,3.12,CA,Black or African-American,44991
1681,Kissimmee,Florida,36.7,33283.0,35869.0,69152,2449.0,16879.0,3.01,FL,Hispanic or Latino,44120
1682,Lynchburg,Virginia,28.7,38614.0,41198.0,79812,4322.0,4364.0,2.48,VA,Hispanic or Latino,2689
1683,Harlingen,Texas,30.1,32404.0,33365.0,65769,2761.0,10391.0,3.0,TX,Asian,2166
1684,Kalamazoo,Michigan,26.4,37175.0,38865.0,76040,3048.0,3482.0,2.36,MI,Black or African-American,19194
1685,German,Maryland,34.9,41115.0,43007.0,84122,2443.0,27877.0,2.95,MD,Asian,15921
1686,Jacksonville,North Carolina,24.2,40015.0,27348.0,67363,8252.0,3732.0,2.51,NC,Hispanic or Latino,11947
1687,Wyoming,Michigan,32.8,35967.0,39310.0,75277,3447.0,8612.0,2.65,MI,Hispanic or Latino,15325
1688,Austin,Texas,32.7,475718.0,456122.0,931840,37414.0,181686.0,2.5,TX,Hispanic or Latino,327680
1689,San Jose,California,36.5,518317.0,508602.0,1026919,27269.0,401493.0,3.13,CA,Asian,385198
1690,Fairfield,California,34.7,55550.0,57422.0,112972,8607.0,24503.0,3.14,CA,Hispanic or Latino,32976
1691,Louisville/Jefferson County metro government,Kentucky,37.5,298451.0,316938.0,615389,39364.0,37875.0,2.45,KY,Black or African-American,151256
1692,Coral Springs,Florida,37.2,63316.0,66186.0,129502,4724.0,38552.0,3.17,FL,Hispanic or Latino,40817
1693,Melbourne,Florida,43.4,39180.0,40956.0,80136,8363.0,9685.0,2.37,FL,White,65397
1694,Wilmington,North Carolina,35.5,52346.0,63601.0,115947,5908.0,7401.0,2.24,NC,Black or African-American,23578
1695,Lexington-Fayette  county,Kentucky,34.4,154032.0,160456.0,314488,16661.0,28613.0,2.34,KY,Asian,14066
1696,College Station,Texas,22.9,54125.0,53774.0,107899,2471.0,16145.0,2.52,TX,Asian,10915
1697,Carmel,Indiana,39.9,42928.0,46101.0,89029,2723.0,9645.0,2.71,IN,Asian,11223
1698,Downey,California,37.3,53006.0,61205.0,114211,2281.0,39977.0,3.45,CA,Black or African-American,5498
1699,Plano,Texas,38.1,138565.0,145054.0,283619,11719.0,74030.0,2.65,TX,White,195220
1700,Tyler,Texas,33.9,50422.0,53283.0,103705,4813.0,8225.0,2.59,TX,Black or African-American,26156
1701,Lehigh Acres,Florida,34.3,57856.0,61624.0,119480,5551.0,31880.0,3.55,FL,Black or African-American,29998
1702,Reading,Pennsylvania,29.4,43668.0,44205.0,87873,2580.0,17043.0,2.95,PA,American Indian and Alaska Native,9671
1703,Troy,Michigan,43.3,42371.0,40905.0,83276,2975.0,21004.0,2.59,MI,Black or African-American,5294
1704,Davenport,Iowa,35.2,50123.0,52454.0,102577,7090.0,4065.0,2.39,IA,Asian,3071
1705,Greeley,Colorado,31.0,50792.0,50091.0,100883,4294.0,11480.0,2.75,CO,Asian,2202
1706,West Jordan,Utah,30.8,57898.0,54044.0,111942,3577.0,11492.0,3.46,UT,White,100150
1707,Waukesha,Wisconsin,35.8,36263.0,35713.0,71976,3116.0,4982.0,2.35,WI,American Indian and Alaska Native,481
1708,Waterloo,Iowa,37.2,34488.0,33969.0,68457,4800.0,5082.0,2.42,IA,Hispanic or Latino,4961
1709,Perris,California,26.9,41623.0,33336.0,74959,1321.0,23277.0,4.78,CA,Asian,3341
1710,Santa Maria,California,30.1,53320.0,51762.0,105082,2876.0,39192.0,3.83,CA,Asian,5058
1711,Casas Adobes,Arizona,44.8,30890.0,34375.0,65265,6601.0,7024.0,2.24,AZ,Black or African-American,1854
1712,Johnson City,Tennessee,38.2,31019.0,34350.0,65369,5038.0,2878.0,2.18,TN,White,59147
1713,Joliet,Illinois,33.1,70863.0,79162.0,150025,7353.0,22409.0,3.13,IL,Hispanic or Latino,45291
1714,Gresham,Oregon,36.7,53866.0,56716.0,110582,6326.0,17860.0,2.67,OR,Asian,6641
1715,Schaumburg,Illinois,36.9,35971.0,39840.0,75811,2019.0,24614.0,2.719999999999999,IL,White,43688
1716,Sterling Heights,Michigan,39.6,64985.0,67077.0,132062,6970.0,34313.0,2.66,MI,Asian,12264
1717,Lynwood,California,29.4,35634.0,36371.0,72005,776.0,28061.0,4.43,CA,White,48670
1718,Redondo Beach,California,43.0,34855.0,33330.0,68185,3014.0,13536.0,2.34,CA,Hispanic or Latino,8858
1719,Warner Robins,Georgia,31.4,35093.0,38909.0,74002,6974.0,3210.0,2.5,GA,American Indian and Alaska Native,1309
1720,Plymouth,Minnesota,38.4,39035.0,36893.0,75928,4158.0,8830.0,2.46,MN,Black or African-American,6938
1721,Upland,California,39.7,36226.0,40221.0,76447,2898.0,16552.0,2.77,CA,Hispanic or Latino,30787
1722,Savannah,Georgia,30.3,69389.0,76295.0,145684,9717.0,10355.0,2.5700000000000003,GA,Black or African-American,82307
1723,Meridian,Idaho,38.0,43353.0,47400.0,90753,5640.0,8110.0,2.54,ID,White,84625
1724,Norfolk,Virginia,30.2,128917.0,117476.0,246393,29445.0,16702.0,2.51,VA,Asian,11854
1725,Lake Charles,Louisiana,31.8,35678.0,40388.0,76066,4477.0,3215.0,2.36,LA,Hispanic or Latino,3157
1726,Abilene,Texas,31.3,65212.0,60664.0,125876,9367.0,8129.0,2.64,TX,White,95487
1727,Worcester,Massachusetts,34.9,90951.0,93855.0,184806,9408.0,36907.0,2.43,MA,Hispanic or Latino,39000
1728,New Orleans,Louisiana,35.9,185736.0,203881.0,389617,17388.0,21679.0,2.41,LA,American Indian and Alaska Native,2496
1729,Surprise,Arizona,39.4,62875.0,65567.0,128442,11109.0,9929.0,2.9,AZ,American Indian and Alaska Native,1883
1730,Lee's Summit,Missouri,36.8,48353.0,46715.0,95068,6624.0,3803.0,2.68,MO,Hispanic or Latino,4504
1731,Sandy Springs,Georgia,35.4,48570.0,56777.0,105347,3015.0,19837.0,2.4,GA,Asian,7909
1732,Chattanooga,Tennessee,36.6,83640.0,92957.0,176597,10001.0,10599.0,2.4,TN,American Indian and Alaska Native,1092
1733,Centennial,Colorado,42.4,53222.0,56504.0,109726,7226.0,9501.0,2.66,CO,American Indian and Alaska Native,1219
1734,Corona,California,37.1,79749.0,84493.0,164242,7709.0,42131.0,2.969999999999999,CA,American Indian and Alaska Native,2268
1735,Lakewood,California,39.9,41523.0,40069.0,81592,4094.0,18274.0,3.13,CA,Black or African-American,6123
1736,Austin,Texas,32.7,475718.0,456122.0,931840,37414.0,181686.0,2.5,TX,Black or African-American,81861
1737,Rochester,New York,31.4,100135.0,109673.0,209808,7288.0,17735.0,2.36,NY,American Indian and Alaska Native,4856
1738,Vallejo,California,37.8,58379.0,62890.0,121269,8103.0,30592.0,2.83,CA,Hispanic or Latino,28977
1739,San Angelo,Texas,32.8,49669.0,50744.0,100413,8412.0,7859.0,2.5,TX,Black or African-American,6079
1740,Aurora,Colorado,34.2,177899.0,180971.0,358870,25158.0,65816.0,2.8200000000000003,CO,Black or African-American,61894
1741,Auburn,Washington,37.1,36837.0,39743.0,76580,5401.0,14842.0,2.73,WA,American Indian and Alaska Native,3042
1742,Bolingbrook,Illinois,33.7,36295.0,35801.0,72096,2951.0,15212.0,3.42,IL,Hispanic or Latino,16904
1743,Austin,Texas,32.7,475718.0,456122.0,931840,37414.0,181686.0,2.5,TX,Asian,78916
1744,Loveland,Colorado,37.6,37042.0,38146.0,75188,5667.0,3050.0,2.53,CO,White,71538
1745,Loveland,Colorado,37.6,37042.0,38146.0,75188,5667.0,3050.0,2.53,CO,Black or African-American,950
1746,Pittsburgh,Pennsylvania,32.9,149690.0,154695.0,304385,17728.0,28187.0,2.13,PA,Black or African-American,82248
1747,Saint Joseph,Missouri,35.7,37688.0,38408.0,76096,5846.0,3755.0,2.58,MO,American Indian and Alaska Native,1018
1748,Syracuse,New York,30.3,69462.0,74690.0,144152,5845.0,17733.0,2.39,NY,Black or African-American,46026
1749,Ann Arbor,Michigan,28.1,58789.0,58281.0,117070,3614.0,20717.0,2.17,MI,Asian,18797
1750,Jacksonville,North Carolina,24.2,40015.0,27348.0,67363,8252.0,3732.0,2.51,NC,American Indian and Alaska Native,1741
