,City,State,Median Age,Male Population,Female Population,Total Population,Number of Veterans,Foreign-born,Average Household Size,State Code,Race,Count
2209,Richardson,Texas,35.5,54676.0,56151.0,110827,4797.0,29579.0,2.83,TX,American Indian and Alaska Native,1439
2210,Boulder,Colorado,29.0,56342.0,51000.0,107342,4061.0,12993.0,2.24,CO,Hispanic or Latino,9795
2211,Yonkers,New York,38.0,96580.0,104538.0,201118,4801.0,61247.0,2.8,NY,White,129492
2212,Fremont,California,38.3,114383.0,117808.0,232191,4629.0,109427.0,3.12,CA,Black or African-American,7762
2213,Pharr,Texas,26.9,35242.0,41293.0,76535,1376.0,25532.0,3.67,TX,White,73694
2214,Redding,California,38.8,42530.0,49049.0,91579,6926.0,5181.0,2.42,CA,American Indian and Alaska Native,4352
2215,Sunnyvale,California,35.7,79480.0,72280.0,151760,3900.0,71441.0,2.74,CA,Asian,69472
2216,Fontana,California,29.5,100644.0,106828.0,207472,4076.0,61448.0,4.15,CA,White,85044
2217,Fort Lauderdale,Florida,42.8,93948.0,84639.0,178587,8897.0,47582.0,2.38,FL,Asian,3791
2218,Fort Wayne,Indiana,34.7,124815.0,133329.0,258144,13539.0,19146.0,2.45,IN,Asian,13596
2219,Coral Springs,Florida,37.2,63316.0,66186.0,129502,4724.0,38552.0,3.17,FL,American Indian and Alaska Native,1262
2220,Lancaster,California,30.9,80668.0,80445.0,161113,7892.0,17247.0,3.25,CA,Hispanic or Latino,57423
2221,Springfield,Missouri,34.1,81057.0,85741.0,166798,12291.0,7765.0,2.12,MO,Black or African-American,10026
2222,Flower Mound,Texas,40.2,35200.0,35824.0,71024,4217.0,6860.0,3.01,TX,White,61433
2223,Aurora,Colorado,34.2,177899.0,180971.0,358870,25158.0,65816.0,2.8200000000000003,CO,White,239803
2224,Jacksonville,Florida,35.7,419203.0,448828.0,868031,75432.0,85650.0,2.62,FL,Black or African-American,282692
2225,Sandy Springs,Georgia,35.4,48570.0,56777.0,105347,3015.0,19837.0,2.4,GA,Black or African-American,15420
2226,Carlsbad,California,42.1,55119.0,58347.0,113466,6031.0,17689.0,2.68,CA,Asian,11948
2227,Grand Prairie,Texas,33.1,90811.0,96944.0,187755,7073.0,44888.0,3.18,TX,American Indian and Alaska Native,1754
2228,Evansville,Indiana,38.0,57198.0,60481.0,117679,9063.0,3169.0,2.25,IN,White,100055
2229,Saint Cloud,Minnesota,30.7,34311.0,33942.0,68253,5012.0,5757.0,2.41,MN,White,59794
2230,Weston,Florida,38.6,32956.0,36991.0,69947,1507.0,30876.0,3.34,FL,American Indian and Alaska Native,128
2231,Greensboro,North Carolina,35.5,132251.0,153093.0,285344,14011.0,26667.0,2.36,NC,Asian,12683
2232,Vallejo,California,37.8,58379.0,62890.0,121269,8103.0,30592.0,2.83,CA,Asian,34753
2233,Bellflower,California,33.4,38936.0,39498.0,78434,2154.0,24607.0,3.58,CA,Hispanic or Latino,42472
2234,Kenner,Louisiana,36.9,33993.0,33113.0,67106,2485.0,12352.0,2.5700000000000003,LA,Asian,2729
2235,Albuquerque,New Mexico,36.0,273323.0,285808.0,559131,37443.0,58200.0,2.49,NM,Black or African-American,26774
2236,Town 'n' Country,Florida,38.1,39410.0,39586.0,78996,4534.0,22135.0,2.61,FL,Black or African-American,9575
2237,Cary,North Carolina,39.9,78932.0,81582.0,160514,7426.0,30008.0,2.61,NC,Asian,25124
2238,Loveland,Colorado,37.6,37042.0,38146.0,75188,5667.0,3050.0,2.53,CO,Hispanic or Latino,13567
2239,Menifee,California,37.1,42866.0,44297.0,87163,6821.0,12481.0,3.06,CA,American Indian and Alaska Native,1639
2240,Mobile,Alabama,38.0,91275.0,103030.0,194305,11939.0,7234.0,2.4,AL,Asian,5518
2241,Orem,Utah,26.1,48695.0,45762.0,94457,2828.0,12808.0,3.26,UT,Black or African-American,1837
2242,Baltimore,Maryland,34.7,294027.0,327822.0,621849,29540.0,49857.0,2.51,MD,American Indian and Alaska Native,7730
2243,Brownsville,Texas,30.6,87689.0,96199.0,183888,4211.0,53301.0,3.48,TX,Black or African-American,1239
2244,Riverview,Florida,32.2,44210.0,45536.0,89746,6943.0,12240.0,3.22,FL,Hispanic or Latino,23317
2245,Lafayette,Indiana,33.5,34313.0,36857.0,71170,5045.0,5697.0,2.19,IN,Hispanic or Latino,9151
2246,Duluth,Minnesota,34.7,41271.0,44855.0,86126,5015.0,2258.0,2.25,MN,Hispanic or Latino,1981
2247,Poinciana,Florida,34.2,38142.0,35801.0,73943,2933.0,14349.0,3.93,FL,Asian,1409
2248,Everett,Washington,37.0,56212.0,51800.0,108012,7880.0,19499.0,2.36,WA,Asian,9807
2249,Southfield,Michigan,41.6,31369.0,41808.0,73177,4035.0,4011.0,2.27,MI,Black or African-American,54200
2250,Duluth,Minnesota,34.7,41271.0,44855.0,86126,5015.0,2258.0,2.25,MN,Black or African-American,3891
2251,Palm Coast,Florida,48.8,39489.0,42632.0,82121,7950.0,9084.0,2.76,FL,Black or African-American,10786
2252,Pawtucket,Rhode Island,39.2,36072.0,35511.0,71583,3173.0,17884.0,2.41,RI,Asian,2150
2253,Reno,Nevada,35.7,122292.0,119151.0,241443,17089.0,37070.0,2.46,NV,White,197335
2254,Layton,Utah,29.5,37748.0,36394.0,74142,3811.0,4268.0,3.24,UT,American Indian and Alaska Native,1674
2255,Lewisville,Texas,31.6,52776.0,52032.0,104808,4211.0,24865.0,2.78,TX,White,70278
2256,Guaynabo,Puerto Rico,42.2,33066.0,37426.0,70492,,,,PR,Hispanic or Latino,69936
2257,Livermore,California,36.7,41522.0,46595.0,88117,3063.0,13959.0,2.91,CA,Black or African-American,3199
2258,Southfield,Michigan,41.6,31369.0,41808.0,73177,4035.0,4011.0,2.27,MI,American Indian and Alaska Native,983
2259,Memphis,Tennessee,34.1,312237.0,343523.0,655760,31189.0,43318.0,2.55,TN,Black or African-American,420983
2260,Lee's Summit,Missouri,36.8,48353.0,46715.0,95068,6624.0,3803.0,2.68,MO,Asian,3013
2261,Flower Mound,Texas,40.2,35200.0,35824.0,71024,4217.0,6860.0,3.01,TX,Asian,6577
2262,Norwalk,Connecticut,42.4,40880.0,47603.0,88483,2877.0,22328.0,2.7,CT,Hispanic or Latino,24682
2263,San Antonio,Texas,33.1,721405.0,748419.0,1469824,109089.0,208046.0,2.93,TX,Asian,53933
2264,Hemet,California,36.8,38622.0,45251.0,83873,5613.0,13330.0,2.969999999999999,CA,Hispanic or Latino,37448
2265,Abilene,Texas,31.3,65212.0,60664.0,125876,9367.0,8129.0,2.64,TX,Asian,2929
2266,Rancho Cordova,California,33.8,34844.0,36182.0,71026,4590.0,17020.0,2.86,CA,Asian,12653
2267,Jurupa Valley,California,33.8,49430.0,50884.0,100314,3833.0,25338.0,3.87,CA,White,58201
2268,Clarksville,Tennessee,29.7,75029.0,74161.0,149190,20803.0,8211.0,2.64,TN,American Indian and Alaska Native,2338
2269,Greensboro,North Carolina,35.5,132251.0,153093.0,285344,14011.0,26667.0,2.36,NC,Black or African-American,124108
2270,Lynn,Massachusetts,34.8,44598.0,47861.0,92459,3093.0,29899.0,2.81,MA,Asian,9205
2271,Las Cruces,New Mexico,32.7,47835.0,53809.0,101644,9421.0,11888.0,2.58,NM,White,91201
2272,Salinas,California,30.4,77765.0,79621.0,157386,4020.0,58693.0,3.719999999999999,CA,Asian,11227
2273,Saint George,Utah,37.3,38732.0,41475.0,80207,4443.0,4824.0,2.81,UT,Hispanic or Latino,10829
2274,Davie,Florida,40.8,48754.0,52140.0,100894,4655.0,26532.0,2.719999999999999,FL,American Indian and Alaska Native,464
2275,Ames,Iowa,23.0,33814.0,31238.0,65052,2265.0,8606.0,2.16,IA,White,56157
2276,Richmond,California,35.3,52615.0,57100.0,109715,3611.0,42215.0,2.87,CA,Black or African-American,27434
2277,Yuba City,California,34.5,33654.0,33290.0,66944,4706.0,18032.0,2.9,CA,Hispanic or Latino,20890
2278,Fishers,Indiana,34.5,42161.0,43910.0,86071,2469.0,6138.0,2.8,IN,Black or African-American,6873
2279,San Francisco,California,38.3,439752.0,425064.0,864816,26276.0,297199.0,2.37,CA,Black or African-American,53270
2280,Oceanside,California,39.4,87482.0,88232.0,175714,18051.0,37492.0,2.719999999999999,CA,Hispanic or Latino,62100
2281,El Monte,California,37.3,57961.0,58784.0,116745,1686.0,59655.0,3.67,CA,American Indian and Alaska Native,718
2282,Toms River,New Jersey,43.7,43864.0,43886.0,87750,5042.0,6852.0,2.71,NJ,American Indian and Alaska Native,251
2283,Renton,Washington,36.3,52779.0,47468.0,100247,5032.0,28962.0,2.5700000000000003,WA,Hispanic or Latino,15392
2284,Carmichael,California,41.0,29281.0,33934.0,63215,4225.0,7378.0,2.39,CA,Black or African-American,4675
2285,Fayetteville,North Carolina,30.7,101051.0,100914.0,201965,28089.0,12863.0,2.5,NC,Black or African-American,90625
2286,Iowa City,Iowa,25.5,37089.0,37138.0,74227,2047.0,9202.0,2.36,IA,Black or African-American,7219
2287,San Ramon,California,39.1,39221.0,36911.0,76132,2855.0,29691.0,3.09,CA,American Indian and Alaska Native,609
2288,Topeka,Kansas,37.1,60879.0,66378.0,127257,9608.0,6711.0,2.32,KS,Hispanic or Latino,18640
2289,Glen Burnie,Maryland,36.5,33398.0,36461.0,69859,5298.0,6971.0,2.58,MD,White,49982
2290,Minneapolis,Minnesota,32.4,206547.0,204388.0,410935,15217.0,70769.0,2.26,MN,White,277862
2291,Baltimore,Maryland,34.7,294027.0,327822.0,621849,29540.0,49857.0,2.51,MD,Hispanic or Latino,29953
2292,Costa Mesa,California,34.8,59097.0,54089.0,113186,4095.0,26645.0,2.59,CA,Asian,9165
2293,Lawrence,Massachusetts,30.8,37464.0,42776.0,80240,1190.0,29170.0,3.17,MA,White,40757
2294,Tucson,Arizona,33.6,264893.0,266781.0,531674,38182.0,82220.0,2.45,AZ,White,404342
2295,Miramar,Florida,36.6,66157.0,70958.0,137115,3077.0,57179.0,3.41,FL,Asian,12084
2296,Plano,Texas,38.1,138565.0,145054.0,283619,11719.0,74030.0,2.65,TX,Hispanic or Latino,42959
2297,Westminster,California,42.9,45538.0,46573.0,92111,3435.0,42227.0,3.27,CA,Hispanic or Latino,19111
2298,Town 'n' Country,Florida,38.1,39410.0,39586.0,78996,4534.0,22135.0,2.61,FL,White,64441
2299,Gastonia,North Carolina,36.9,35527.0,39023.0,74550,3537.0,5715.0,2.67,NC,Black or African-American,22179
2300,Orlando,Florida,33.1,130940.0,139977.0,270917,12782.0,50558.0,2.42,FL,White,179121
2301,Oshkosh,Wisconsin,33.0,32905.0,33652.0,66557,3809.0,2348.0,2.3,WI,Hispanic or Latino,1972
2302,Simi Valley,California,39.0,63243.0,63523.0,126766,6063.0,23260.0,3.13,CA,American Indian and Alaska Native,2474
2303,Skokie,Illinois,43.4,31382.0,33437.0,64819,1066.0,27424.0,2.78,IL,Hispanic or Latino,6590
2304,Citrus Heights,California,37.8,41982.0,45071.0,87053,6171.0,9466.0,2.49,CA,White,77525
2305,Paterson,New Jersey,34.0,70640.0,77117.0,147757,1694.0,49810.0,3.37,NJ,Asian,9653
2306,Bryan,Texas,29.4,41761.0,40345.0,82106,3602.0,12014.0,2.55,TX,Hispanic or Latino,29647
2307,Stockton,California,32.5,150976.0,154674.0,305650,12822.0,79583.0,3.16,CA,White,170878
2308,Norman,Oklahoma,30.9,59483.0,60814.0,120297,5578.0,8705.0,2.47,OK,American Indian and Alaska Native,10801
2309,Independence,Missouri,38.6,54348.0,62907.0,117255,10220.0,4911.0,2.33,MO,Hispanic or Latino,12236
2310,Rapid City,South Dakota,39.5,36122.0,37446.0,73568,7429.0,2375.0,2.31,SD,Black or African-American,2217
2311,Brownsville,Texas,30.6,87689.0,96199.0,183888,4211.0,53301.0,3.48,TX,White,174670
2312,Toledo,Ohio,36.1,135455.0,144323.0,279778,15286.0,9257.0,2.29,OH,Asian,6850
2313,Salt Lake City,Utah,32.1,98364.0,94296.0,192660,6829.0,32166.0,2.38,UT,White,150136
2314,San Tan Valley,Arizona,31.3,40429.0,42368.0,82797,4300.0,5757.0,3.44,AZ,White,75429
