Column1;City;State;Median Age;Male Population;Female Population;Total Population;Foreign-born;Average Household Size;State Code;CO;NO2;O3;SO2;PM2.5;PM10
148;Raleigh;North Carolina;328;2191840;2327650;451949;651250;242;NC;26035;591;4435;77;637;682
149;Compton;California;301;492640;491840;98448;306600;408;CA;32044;1679;1502;417;1664;2105
151;Amarillo;Texas;338;993910;1002600;199651;211240;264;TX;19193;161;8154;36;356;674
152;Chesapeake;Virginia;367;1149640;1204650;235429;139660;273;VA;25702;805;4542;62;679;844
153;Glendale;Arizona;344;1167950;1233190;240114;441330;289;AZ;2470;634;10729;215;633;735
154;Corona;California;371;797490;844930;164242;421310;2,97E+15;CA;46063;1508;3233;1931;612;6782
155;Broken Arrow;Oklahoma;368;521360;554590;107595;68450;277;OK;47398;4387;3254;103;686;872
156;Fort Lauderdale;Florida;428;939480;846390;178587;475820;238;FL;29373;2262;6008;157;487;821
157;Fayetteville;North Carolina;307;1010510;1009140;201965;128630;25;NC;26703;908;4792;107;429;832
158;Hartford;Connecticut;310;580420;659720;124014;284670;259;CT;27704;1182;4721;97;288;363
159;Athens-Clarke County unified government;Georgia;265;574150;651480;122563;128680;244;GA;22364;238;6223;55;219;292
160;Warwick;Rhode Island;426;392890;424090;81698;53180;24;RI;30708;1525;0;337;746;807
161;Charlotte;North Carolina;343;3966460;4304750;827121;1288970;252;NC;27037;446;4506;62;695;751
162;Jersey City;New Jersey;343;1317650;1325120;264277;1091860;2,57E+16;NJ;39053;5621;2396;1025;616;881
163;Westminster;Colorado;378;548660;582510;113117;113610;263;CO;26035;305;53;823;525;592
164;Long Beach;California;346;2381590;2360130;474172;1277640;278;CA;27704;120;12875;697;1289;1718
165;Coral Springs;Florida;372;633160;661860;129502;385520;317;FL;21696;93;9298;23;495;786
167;Spokane Valley;Washington;360;499330;449750;94908;41990;239;WA;24033;458;7796;113;524;878
168;Mayagüez;Puerto Rico;381;307990;357820;66581;;;PR;26369;38;1431;28;12;155
169;San Diego;California;345;6938260;7010810;1394907;3738420;273;CA;25702;497;14162;313;181;241
172;Chandler;Arizona;356;1288850;1319480;260833;387210;278;AZ;24366;703;15593;316;1112;1951
173;Pine Hills;Florida;292;353440;407370;76081;207350;33;FL;21029;212;8869;29;293;443
174;Tulsa;Oklahoma;350;1974370;2056540;403091;437510;237;OK;4406;3804;279;244;565;681
175;Hawthorne;California;337;436820;447620;88444;321070;2,97E+15;CA;32044;1679;1502;417;1664;2105
176;Portland;Oregon;367;3135160;3186710;632187;860410;243;OR;27037;934;5007;328;526;656
177;Tampa;Florida;353;1755170;1935110;369028;587950;247;FL;21362;236;8869;6;264;533
180;Arlington;Virginia;344;1139810;1151830;229164;552050;219;VA;42057;3324;4435;162;511;754
181;Sunrise Manor;Nevada;325;935050;991030;192608;565300;325;NV;25368;1594;1359;519;1181;2657
182;Longmont;Colorado;368;439410;482800;92221;104240;263;CO;25702;874;9441;167;681;763
183;Macon;Georgia;360;718330;816260;153459;48460;246;GA;2470;309;7296;215;518;564
184;Arden-Arcade;California;415;475960;486800;96276;134580;218;CA;25702;626;1502;212;1558;1784
185;Redlands;California;362;339930;370350;71028;86810;2,82E+16;CA;39721;985;26321;954;5602;6319
186;Anchorage;Alaska;322;1529450;1457500;298695;332580;277;AK;26035;16;608;2;5;109
187;Missoula;Montana;347;350020;360220;71024;27710;215;MT;22364;471;4578;8;547;95
188;Mobile;Alabama;380;912750;1030300;194305;72340;24;AL;23031;291;8369;97;422;518
190;Newton;Massachusetts;423;419850;468240;88809;216920;271;MA;29373;1885;4149;241;392;774
191;Baton Rouge;Louisiana;312;1114920;1171040;228596;122680;252;LA;27037;1114;751;224;711;838
192;Cincinnati;Ohio;327;1436540;1548830;298537;168960;208;OH;25702;1097;4935;387;266;295
193;Longview;Texas;368;400650;415250;81590;87820;255;TX;2470;557;10729;668;917;1235
194;Santa Rosa;California;379;868400;881490;174989;330150;27;CA;22697;171;11158;54;993;1269
195;Fairfield;California;347;555500;574220;112972;245030;314;CA;22364;135;11301;39;941;1246
196;Centennial;Colorado;424;532220;565040;109726;95010;266;CO;38052;401;8512;703;841;996
197;Fremont;California;383;1143830;1178080;232191;1094270;312;CA;26369;1037;10872;346;1016;1543
198;New Braunfels;Texas;370;330710;368520;69923;54050;285;TX;23031;488;7439;31;254;453
199;Elk Grove;California;361;800570;868330;166890;386930;334;CA;25702;626;1502;212;1558;1784
200;Norfolk;Virginia;302;1289170;1174760;246393;167020;251;VA;40388;3907;3326;189;84;109
201;Pompano Beach;Florida;425;565690;512020;107771;327330;255;FL;23699;865;7582;52;60;971
202;Redondo Beach;California;430;348550;333300;68185;135360;234;CA;32044;1679;1502;417;1664;2105
203;Jackson;Mississippi;317;790390;917720;170811;17890;265;MS;23031;446;9084;159;441;573
204;Saint Petersburg;Florida;418;1235240;1335640;257088;285670;242;FL;32377;1885;4399;2027;116;194
205;Casas Adobes;Arizona;448;308900;343750;65265;70240;224;AZ;20361;115;11873;69;627;1614
206;Gilbert;Arizona;332;1167110;1308120;247523;245310;32;AZ;22697;566;14162;265;867;1656
207;Fargo;North Dakota;307;605600;586900;119250;94280;218;ND;22364;178;701;51;238;319
208;Kansas City;Missouri;359;2284300;2469310;475361;377870;235;MO;41723;4044;3541;531;795;984
209;Berkeley;California;325;601420;608290;120971;250000;235;CA;2470;501;8869;209;507;1053
210;Santa Clara;California;352;632780;629380;126216;522810;275;CA;3171;1251;15307;453;2279;2794
211;Kansas City;Kansas;334;746060;766550;151261;255070;271;KS;41723;4044;3541;531;795;984
212;Maple Grove;Minnesota;386;317800;366010;68381;76450;264;MN;23699;428;6867;68;372;446
213;Lynchburg;Virginia;287;386140;411980;79812;43640;248;VA;25368;338;4649;74;522;539
216;Yonkers;New York;380;965800;1045380;201118;612470;28;NY;37384;5004;304;697;555;857
218;Toms River;New Jersey;437;438640;438860;87750;68520;271;NJ;22364;463;8941;61;168;214
220;Cambridge;Massachusetts;315;554210;549810;110402;277570;206;MA;2470;2125;275;173;303;358
221;Spring Valley;Nevada;370;968080;971470;193955;610720;279;NV;35048;2331;8655;125;664;915
222;Wilmington;Delaware;364;326800;392770;71957;33360;245;DE;26703;1337;608;244;269;353
223;Edinburg;Texas;293;394220;450790;84501;165690;331;TX;24033;186;6437;72;219;305
225;Glendale;California;421;981810;1028440;201025;1115100;269;CA;2470;634;10729;215;633;735
226;Abilene;Texas;313;652120;606640;125876;81290;264;TX;21362;30;701;38;401;699
228;Bismarck;North Dakota;380;346750;355650;70240;20640;211;ND;21696;279;7296;37;104;133
229;Lawton;Oklahoma;311;510990;455600;96659;61230;2,72E+15;OK;28372;617;7224;33;617;712
230;Rockford;Illinois;363;710760;782700;149346;183230;252;IL;23699;668;3147;2;119;174
233;Redding;California;388;425300;490490;91579;51810;242;CA;20695;174;11158;25;474;701
235;Johnson City;Tennessee;382;310190;343500;65369;28780;218;TN;24033;364;4149;75;232;241
237;San Tan Valley;Arizona;313;404290;423680;82797;57570;344;AZ;22697;42;10872;58;669;1551
238;Provo;Utah;236;562310;590270;115258;109250;328;UT;30708;1868;6366;158;1085;1477
239;Deerfield Beach;Florida;414;371550;426140;79769;236420;246;FL;23699;865;7582;52;60;971
241;Alexandria;Virginia;366;749890;785220;153511;440300;22;VA;29707;4318;2468;3576;9247;10956
242;Portland;Maine;403;314800;353920;66872;92290;213;ME;27037;934;5007;328;526;656
243;East Los Angeles;California;326;604600;592060;119666;495750;375;CA;34714;2228;17023;894;2468;2908
244;Warren;Michigan;432;640630;712930;135356;188220;245;MI;29373;1037;3326;103;322;365
246;Auburn;Washington;371;368370;397430;76580;148420;273;WA;23365;167;9012;182;579;641
