,City,State,Median Age,Male Population,Female Population,Total Population,Foreign-born,Average Household Size,State Code,CO,NO2,O3,SO2,PM2.5,PM10
113,Portsmouth,Virginia,33.6,45900.0,50301.0,96201,1815.0,2.54,VA,230.31,14.22,20.92,5.54,2.42,2.89
114,Norwalk,California,35.0,53125.0,54020.0,107145,39396.0,3.88,CA,253.68,9.08,60.08,1.1,2.74,3.37
115,Alhambra,California,41.0,42184.0,43388.0,85572,44441.0,2.89,CA,347.14,22.28,170.23,8.94,24.68,29.08
116,Carson,California,40.4,43790.0,49506.0,93296,33860.0,3.7,CA,320.44,16.79,150.2,4.17,16.64,21.05
117,Everett,Washington,37.0,56212.0,51800.0,108012,19499.0,2.36,WA,267.03,6.0,56.51,2.12,3.87,5.05
118,Citrus Heights,California,37.8,41982.0,45071.0,87053,9466.0,2.49,CA,283.72,5.06,167.37,2.0,23.73,27.6
120,North Little Rock,Arkansas,33.6,31671.0,34835.0,66506,2787.0,2.62,AR,333.79,20.74,49.35,1.0,5.22,6.87
121,Atascocita,Texas,32.8,37424.0,40816.0,78240,8657.0,3.03,TX,343.8,28.45,94.41,3.07,9.09,11.78
122,Erie,Pennsylvania,35.3,48618.0,50852.0,99470,6275.0,2.31,PA,263.69,6.51,47.92,2.59,4.93,5.16
123,Fresno,California,30.0,256130.0,263942.0,520072,103453.0,3.12,CA,283.72,6.86,151.63,2.65,20.29,25.1
124,Jacksonville,Florida,35.7,419203.0,448828.0,868031,85650.0,2.62,FL,206.95,1.65,79.39,0.19,1.41,1.73
125,High Point,North Carolina,35.5,51751.0,58077.0,109828,16315.0,2.65,NC,277.04,7.45,47.21,0.69,5.81,6.13
126,Pearland,Texas,33.9,52336.0,59329.0,111665,16882.0,3.0,TX,317.1,19.02,90.12,4.59,7.08,9.52
127,Brownsville,Texas,30.6,87689.0,96199.0,183888,53301.0,3.48,TX,247.0,5.57,120.16,3.61,9.98,12.01
128,Denton,Texas,28.7,62478.0,68569.0,131047,18451.0,2.66,TX,240.33,9.0,42.56,0.38,2.45,3.3
130,San Bernardino,California,28.5,108671.0,107466.0,216137,55135.0,3.55,CA,400.54,7.71,300.41,10.97,62.44,68.51
131,Mesquite,Texas,34.6,69240.0,75884.0,145124,26755.0,2.96,TX,520.71,45.93,23.25,1.59,6.37,10.18
132,Sioux Falls,South Dakota,34.6,86596.0,84934.0,171530,12934.0,2.38,SD,210.29,2.12,71.53,0.39,2.85,4.73
133,Charleston,South Carolina,35.0,63956.0,71568.0,135524,5767.0,2.4,SC,230.31,2.79,65.09,0.46,3.96,4.08
134,Redwood City,California,37.1,42676.0,42624.0,85300,27652.0,2.64,CA,226.97,2.57,86.55,1.06,5.3,11.51
135,Paradise,Nevada,37.2,122784.0,114162.0,236946,66712.0,2.65,NV,253.68,15.94,135.9,5.19,11.81,26.57
136,Upland,California,39.7,36226.0,40221.0,76447,16552.0,2.77,CA,467.3,16.28,323.3,18.84,70.91,77.83
137,Paterson,New Jersey,34.0,70640.0,77117.0,147757,49810.0,3.37,NJ,400.54,62.38,23.25,10.13,7.46,9.46
138,Pasco,Washington,28.6,35298.0,32799.0,68097,16265.0,3.45,WA,290.39,5.18,49.35,0.44,6.35,9.58
139,Lubbock,Texas,29.2,122320.0,126731.0,249051,14226.0,2.61,TX,216.96,5.27,82.25,0.3,4.24,8.01
141,Schenectady,New York,36.7,32398.0,32901.0,65299,10961.0,2.8200000000000003,NY,273.71,12.68,38.27,0.76,4.22,4.63
142,Worcester,Massachusetts,34.9,90951.0,93855.0,184806,36907.0,2.43,MA,253.68,10.2,52.93,0.72,2.39,3.13
143,Cedar Park,Texas,34.4,31248.0,33589.0,64837,5207.0,3.05,TX,206.95,2.96,50.07,0.23,3.23,5.5
144,Pembroke Pines,Florida,40.3,77050.0,89574.0,166624,62210.0,2.94,FL,216.96,2.14,91.55,0.28,4.44,7.01
145,West Covina,California,39.8,51629.0,56860.0,108489,37038.0,3.56,CA,487.33,29.13,317.57,18.36,63.91,72.23
146,Edmond,Oklahoma,32.5,45191.0,44899.0,90090,5585.0,2.68,OK,236.99,4.76,51.5,0.07,1.92,3.1
147,Columbia,Maryland,37.9,52202.0,51265.0,103467,23249.0,2.68,MD,240.33,2.66,60.8,0.95,4.39,4.63
148,Raleigh,North Carolina,32.8,219184.0,232765.0,451949,65125.0,2.42,NC,260.35,5.91,44.35,0.77,6.37,6.82
149,Compton,California,30.1,49264.0,49184.0,98448,30660.0,4.08,CA,320.44,16.79,150.2,4.17,16.64,21.05
151,Amarillo,Texas,33.8,99391.0,100260.0,199651,21124.0,2.64,TX,191.93,1.61,81.54,0.36,3.56,6.74
152,Chesapeake,Virginia,36.7,114964.0,120465.0,235429,13966.0,2.73,VA,257.02,8.05,45.42,0.62,6.79,8.44
153,Glendale,Arizona,34.4,116795.0,123319.0,240114,44133.0,2.89,AZ,247.0,6.34,107.29,2.15,6.33,7.35
154,Corona,California,37.1,79749.0,84493.0,164242,42131.0,2.969999999999999,CA,460.63,15.08,323.3,19.31,61.2,67.82
155,Broken Arrow,Oklahoma,36.8,52136.0,55459.0,107595,6845.0,2.77,OK,473.98,43.87,32.54,1.03,6.86,8.72
156,Fort Lauderdale,Florida,42.8,93948.0,84639.0,178587,47582.0,2.38,FL,293.73,22.62,60.08,1.57,4.87,8.21
157,Fayetteville,North Carolina,30.7,101051.0,100914.0,201965,12863.0,2.5,NC,267.03,9.08,47.92,1.07,4.29,8.32
